Z Right -1 -12 0 110 10857 10857
R N -2 -2 171 125 452 281
N E 2 3 125 156 109 -16
E D -1 0 156 140 656 500
D Space -2 -1 140 140 218 78
Space LShiftKey 1 4 140 390 218 78
LShiftKey C 0 -3 390 156 266 -124
C O 2 -6 156 141 249 93
O K -1 1 141 156 265 124
K E 1 5 156 156 125 -31
E Space -3 -1 156 125 281 125
Space LShiftKey 1 4 125 94 140 15
LShiftKey B 0 -5 94 156 484 390
B O 2 -4 156 125 156 0
O T 0 4 125 109 187 62
T T 0 0 109 140 172 63
T L -1 -4 140 140 109 -31
L E 1 6 140 156 109 -31
E S -1 1 156 141 265 109
S Space -2 -2 141 172 203 62
Space F 2 0 172 156 375 203
F O 1 -5 156 125 124 -32
O R 0 5 125 141 125 0
R Space -3 0 141 203 172 31
Space D5 4 -1 203 140 437 234
D5 Space -4 1 140 140 156 16
Space C 1 1 140 218 858 718
C E 2 0 218 172 140 -78
E M -2 -4 172 125 1232 1060
M Back 3 -6 125 187 375 250
Back Oemplus 0 1 187 62 31 -156
Oemplus Back 0 -1 62 140 1030 968
Back N -3 7 140 94 608 468
N T 2 1 94 172 140 46
T S -1 3 172 141 78 -94
S Space -2 -2 141 156 1264 1123
Space D 2 1 156 187 172 16
D E 1 0 187 187 109 -78
E P 0 -7 187 94 249 62
P O 0 1 94 94 172 78
O S -1 7 94 141 296 202
S I 1 -6 141 125 141 0
I T 0 3 125 171 156 31
T E 0 2 171 141 62 -109
E Back 1 -10 141 156 499 358
Back S -2 11 156 156 110 -46
S Space -2 -2 156 187 3307 3151
Space T 3 -1 187 172 327 140
T O 0 -4 172 187 172 0
O Space -3 5 187 156 125 -62
Space B 1 -1 156 187 390 234
B U 2 -2 187 140 203 16
U Y 0 1 140 172 218 78
Y Space -3 2 172 156 78 -94
Space F 2 0 156 109 733 577
F O 1 -5 109 78 203 94
O O 0 0 78 141 140 62
O D -1 6 141 140 110 -31
D Space -2 -1 140 171 156 16
Space W 3 2 171 156 280 109
W I 0 -6 156 156 172 16
I T 0 3 156 156 172 16
T H -1 -1 156 250 171 15
H Space -2 2 250 172 234 -16
Space Back 4 -9 172 172 546 374
Back Oemcomma -3 5 172 110 577 405
Oemcomma Space -1 4 110 141 203 93
Space A 2 3 141 156 141 0
A N -1 -5 156 140 187 31
N D 1 3 140 125 218 78
D Space -2 -1 125 172 265 140
Space LShiftKey 1 4 172 390 312 140
LShiftKey I 2 -8 390 172 281 -109
I Space -3 4 172 141 109 -63
Space W 3 2 141 141 156 15
W O 0 -7 141 140 94 -47
O U 0 2 140 110 218 78
U L -1 -2 110 94 234 124
L D 0 6 94 140 110 16
D Space -2 -1 140 141 124 -16
Space W 3 2 141 172 172 31
W A -1 1 172 141 109 -63
A L 0 -8 141 156 219 78
L K 0 1 156 187 390 234
K Space -2 4 187 156 109 -78
Space T 3 -1 156 172 171 15
T H -1 -1 172 140 141 -31
H E 1 3 140 141 717 577
E Space -3 -1 141 203 297 156
Space D7 4 -3 203 359 296 93
D7 Space -4 3 359 156 406 47
Space M 1 -3 156 109 265 109
M I 2 -1 109 140 203 94
I L -1 -1 140 125 234 94
L E 1 6 125 203 109 -16
E S -1 1 203 140 94 -109
S Space -2 -2 140 203 982 842
Space A 2 3 203 171 375 172
A C -1 -2 171 156 405 234
C R 2 -1 156 156 734 578
R O 0 -5 156 141 202 46
O S -1 7 141 109 188 47
S S 0 0 109 141 202 93
S Space -2 -2 141 171 1202 1061
Space R 3 0 171 156 436 265
R Back 1 -9 156 187 328 172
Back T -1 8 187 141 140 -47
T O 0 -4 141 156 250 109
O W 0 7 156 140 281 125
W N -2 -4 140 203 234 94
N Space -1 2 203 156 140 -63
Space E 3 1 156 187 375 219
E V -2 -1 187 156 327 140
V E 2 1 156 125 94 -62
E R 0 -1 125 125 218 93
R Y 0 -2 125 218 765 640
Y Space -3 2 218 156 140 -78
Space LShiftKey 1 4 156 406 390 234
LShiftKey S 1 -2 406 187 250 -156
S U 1 -5 187 125 249 62
U N -2 1 125 125 234 109
N D 1 3 125 156 250 125
D A 0 2 156 140 78 -78
A Y 1 -5 140 172 1045 905
Y Space -3 2 172 125 343 171
Space N 1 -2 125 234 780 655
N I 2 -2 234 156 156 -78
I G -1 3 156 156 343 187
G H 0 -1 156 140 266 110
H T 1 1 140 141 639 499
T Space -3 1 141 218 1857 1716
Space T 3 -1 218 156 296 78
T O 0 -4 156 203 156 0
O Space -3 5 203 140 156 -47
Space G 2 -1 140 172 156 16
G E 1 2 172 156 78 -94
E T 0 -2 156 156 390 234
T Space -3 1 156 171 593 437
Space O 3 -5 171 125 405 234
O N -2 3 125 156 375 250
N E 2 3 156 171 125 -31
E Space -3 -1 171 156 156 -15
Space G 2 -1 156 156 234 78
G O 1 -4 156 93 312 156
O O 0 0 93 125 171 78
O D -1 6 125 202 531 406
D Space -2 -1 202 140 265 63
Space M 1 -3 140 171 437 297
M E 2 4 171 188 46 -125
E A -1 2 188 140 110 -78
A L 0 -8 140 187 1107 967
L Space -2 5 187 172 125 -62
Space A 2 3 172 124 250 78
A Space -2 -3 124 125 140 16
Space W 3 2 125 141 296 171
W E 0 -1 141 125 468 327
E E 0 0 125 172 203 78
E K -1 -5 172 140 3698 3526
K Space -2 4 140 156 234 94
Space A 2 3 156 156 171 15
A T 1 -4 156 141 234 78
T Space -3 1 141 171 640 499
Space T 3 -1 171 172 296 125
T H -1 -1 172 140 250 78
H E 1 3 140 141 93 -47
E Space -3 -1 141 125 172 31
Space LShiftKey 1 4 125 406 156 31
LShiftKey H 1 -6 406 140 250 -156
H A 0 5 140 141 249 109
A R 1 -3 141 171 172 31
R E 0 1 171 172 62 -109
E Space -3 -1 172 281 203 31
Space LShiftKey 1 4 281 484 156 -125
LShiftKey K 1 -8 484 125 374 -110
K R 1 4 125 156 219 94
R I 0 -4 156 156 281 125
I S -1 6 156 124 156 0
S H 0 -4 124 125 296 172
H N -1 0 125 124 250 125
N A 1 5 124 125 109 -15
A Space -2 -3 125 172 140 15
Space LShiftKey 1 4 172 327 250 78
LShiftKey T 2 -5 327 187 515 188
T E 0 2 187 156 280 93
E M -2 -4 156 125 203 47
M P 2 -3 125 109 375 250
P L -1 1 109 125 187 78
L E 1 6 125 156 62 -63
E OemPeriod -2 -6 156 125 780 624
OemPeriod Space -1 5 125 156 2231 2106
Space LShiftKey 1 4 156 328 140 -16
LShiftKey I 2 -8 328 124 188 -140
I Space -3 4 124 109 156 32
Space L 2 -5 109 94 202 93
L O 1 0 94 109 188 94
O V -2 5 109 141 327 218
V E 2 1 141 156 63 -78
E D -1 0 156 125 249 93
D Space -2 -1 125 109 156 31
Space I 3 -4 109 109 156 47
I T 0 3 109 141 78 -31
T OemPeriod -2 -4 141 94 499 358
OemPeriod Space -1 5 94 172 858 764
Space LShiftKey 1 4 172 624 1014 842
LShiftKey LShiftKey 0 0 624 265 874 250
LShiftKey A 1 -1 265 156 125 -140
A N -1 -5 156 110 327 171
N D 1 3 110 140 94 -16
D Space -2 -1 140 109 125 -15
Space M 1 -3 109 110 171 62
M U 2 0 110 109 219 109
U C -2 4 109 141 171 62
C H 1 -3 141 140 219 78
H Space -2 2 140 110 93 -47
Space O 3 -5 110 125 250 140
O F -1 5 125 125 265 140
F Space -2 0 125 125 109 -16
Space W 3 2 125 125 234 109
W H -1 -4 125 109 328 203
H A 0 5 109 156 94 -15
A T 1 -4 156 109 140 -16
T Space -3 1 109 203 374 265
Space LShiftKey 1 4 203 499 359 156
LShiftKey I 2 -8 499 172 312 -187
I Space -3 4 172 156 297 125
Space S 2 2 156 156 280 124
S T 1 -3 156 141 281 125
T U 0 -2 141 93 297 156
U M -2 0 93 125 187 94
M B 0 2 125 140 655 530
B L 1 -4 140 109 562 422
L E 1 6 109 140 109 0
E D -1 0 140 156 281 141
D Space -2 -1 156 156 1170 1014
Space I 3 -4 156 109 405 249
I N -2 2 109 125 203 94
N T 2 1 125 124 172 47
T O 0 -4 124 218 140 16
O Space -3 5 218 187 125 -93
Space T 3 -1 187 156 140 -47
T H -1 -1 156 125 125 -31
H E 1 3 125 141 140 15
E Space -3 -1 141 125 125 -16
Space F 2 0 125 125 827 702
F O 1 -5 125 109 187 62
O L -1 0 109 78 203 94
L L 0 0 78 109 125 47
L O 1 0 109 156 187 78
O W 0 7 156 141 187 31
W I 0 -6 141 125 203 62
I N -2 2 125 109 234 109
N G 1 1 109 156 140 31
G Space -2 1 156 78 219 63
Space M 1 -3 78 109 374 296
M Y 2 1 109 125 234 125
Y Space -3 2 125 124 63 -62
Space C 1 1 124 125 951 827
C U 2 -4 125 125 234 109
U R 0 3 125 156 515 390
R I 0 -4 156 141 218 62
I O 0 -1 141 124 266 125
O S -1 7 124 125 327 203
S I 1 -6 125 171 141 16
I T 0 3 171 124 234 63
T Y 0 -1 124 140 156 32
Y Space -3 2 140 124 78 -62
Space A 2 3 124 156 1965 1841
A N -1 -5 156 109 297 141
N D 1 3 109 125 202 93
D Space -2 -1 125 125 125 0
Space I 3 -4 125 109 203 78
I N -2 2 109 125 203 94
N T 2 1 125 141 249 124
T U 0 -2 141 94 156 15
U I 0 -1 94 140 172 78
I T 0 3 140 140 172 32
T I 0 -3 140 171 156 16
I O 0 -1 171 156 78 -93
O N -2 3 156 249 265 109
N Space -1 2 249 172 187 -62
Space T 3 -1 172 172 764 592
T U 0 -2 172 109 500 328
U R 0 3 109 140 156 47
R N -2 -2 140 140 452 312
N E 2 3 140 172 78 -62
E D -1 0 172 125 296 124
D Space -2 -1 125 141 125 0
Space O 3 -5 141 125 312 171
O U 0 2 125 124 219 94
U T 0 2 124 141 171 47
T Space -3 1 141 156 125 -16
Space T 3 -1 156 156 203 47
T O 0 -4 156 187 109 -47
O Space -3 5 187 187 94 -93
Space B 1 -1 187 172 1060 873
B R 2 1 172 125 203 31
R Back 1 -9 125 156 328 203
Back E -1 10 156 140 125 -31
E Space -3 -1 140 140 702 562
Space P 3 -6 140 156 327 187
P R 0 6 156 156 156 0
R I 0 -4 156 203 265 109
I O 0 -1 203 62 16 -187
O Back 1 -4 62 78 390 328
Back Oemplus 0 1 78 47 0 -78
Oemplus Back 0 -1 47 140 156 109
Back Back 0 0 140 140 390 250
Back I -1 5 140 140 671 531
I E 0 5 140 109 296 156
E Back 1 -10 109 187 796 687
Back C -3 10 187 171 390 203
C E 2 0 171 172 187 16
E L -1 -6 172 124 562 390
L E 1 6 124 156 140 16
E S -1 1 156 125 296 140
S S 0 0 125 156 219 94
S Space -2 -2 156 156 2199 2043
Space L 2 -5 156 125 437 281
L A 0 8 125 156 78 -47
A T 1 -4 156 171 172 16
T E 0 2 171 140 78 -93
E R 0 -1 140 125 234 94
R Space -3 0 125 125 156 31
Space O 3 -5 125 125 156 31
O N -2 3 125 125 234 109
N OemPeriod 0 -3 125 94 795 670
OemPeriod Space -1 5 94 125 219 125
Space LShiftKey 1 4 125 265 374 249
LShiftKey L 1 -9 265 110 187 -78
L E 1 6 110 141 203 93
E T 0 -2 141 125 234 93
T Space -3 1 125 125 125 0
Space M 1 -3 125 124 172 47
M E 2 4 124 110 124 0
E Space -3 -1 110 109 125 15
Space G 2 -1 109 141 577 468
G I 1 -3 141 125 203 62
I V -2 4 125 187 297 172
V E 2 1 187 156 124 -63
E Space -3 -1 156 187 219 63
Space Y 3 -2 187 172 249 62
Y O 0 -3 172 218 188 16
O U 0 2 218 187 93 -125
U Space -3 3 187 140 125 -62
Space O 3 -5 140 110 686 546
O N -2 3 110 110 234 124
N E 2 3 110 156 110 0
E Space -3 -1 156 140 109 -47
Space E 3 1 140 140 187 47
E X -2 1 140 203 312 172
X A 1 1 203 156 187 -16
A M -1 -6 156 124 141 -15
M P 2 -3 124 94 218 94
P L -1 1 94 93 203 109
L E 1 6 93 141 62 -31
E RShiftKey -2 -8 141 624 281 140
RShiftKey Oem1 1 1 624 187 437 -187
Oem1 Return 0 -2 187 171 905 718
Return LShiftKey -1 12 171 1170 405 234
LShiftKey R 2 -4 1170 141 1045 -125
R E 0 1 141 140 484 343
E E 0 0 140 156 187 47
E D -1 0 156 140 281 125
D Space -2 -1 140 141 187 47
Space LShiftKey 1 4 141 421 63 -78
LShiftKey C 0 -3 421 172 249 -172
C O 2 -6 172 109 219 47
O L -1 0 109 78 202 93
L L 0 0 78 125 125 47
L E 1 6 125 171 63 -62
E G -1 -2 171 171 156 -15
G E 1 2 171 156 78 -93
E Space -3 -1 156 125 171 15
Space A 2 3 125 125 109 -16
A T 1 -4 125 124 188 63
T Space -3 1 124 125 124 0
Space T 3 -1 125 156 125 0
T H -1 -1 156 140 172 16
H A 0 5 140 156 171 31
A T 1 -4 156 125 94 -62
T Space -3 1 125 156 1544 1419
Space T 3 -1 156 156 141 -15
T I 0 -3 156 125 343 187
I M -2 1 125 125 265 140
M E 2 4 125 156 78 -47
E Space -3 -1 156 141 156 0
Space O 3 -5 141 125 250 109
O I 0 1 125 94 15 -110
I Back 1 -5 94 172 827 733
Back F -2 9 172 125 499 327
F F 0 0 125 156 188 63
F E 1 1 156 156 124 -32
E R 0 -1 156 140 188 32
R E 0 1 140 172 62 -78
E D -1 0 172 172 296 124
D Space -2 -1 172 109 281 109
Space P 3 -6 109 156 265 156
P E 0 7 156 141 125 -31
E R 0 -1 141 140 203 62
R H -1 -2 140 140 562 422
H A 0 5 140 140 109 -31
A P 1 -9 140 156 437 297
P S -1 8 156 140 156 0
S Space -2 -2 140 156 171 31
Space T 3 -1 156 156 219 63
T H -1 -1 156 140 140 -16
H E 1 3 140 141 109 -31
E Space -3 -1 141 125 156 15
Space B 1 -1 125 219 624 499
B E 2 2 219 156 234 15
E D -1 0 156 156 250 94
D T 1 -2 156 156 234 78
T Space -3 1 156 156 218 62
Space Back 4 -9 156 109 687 531
Back Back 0 0 109 109 156 47
Back Back 0 0 109 156 156 47
Back S -2 11 156 172 124 -32
S T 1 -3 172 141 390 218
T Space -3 1 141 140 266 125
Space C 1 1 140 156 187 47
C A 1 2 156 140 109 -47
A L 0 -8 140 94 218 78
L L 0 0 94 125 141 47
L I 1 1 125 141 795 670
I G -1 3 141 171 500 359
G R 1 1 171 156 265 94
R A -1 3 156 125 78 -78
A P 1 -9 125 140 234 109
P H -1 4 140 109 281 141
H Y 1 0 109 187 249 140
Y Space -3 2 187 172 125 -62
Space I 3 -4 172 125 686 514
I N -2 2 125 125 203 78
N S 1 4 125 156 78 -47
S T 1 -3 156 124 219 63
T R 0 1 124 140 218 94
R U 0 -3 140 110 140 0
U C -2 4 110 156 562 452
C T 2 -2 156 140 359 203
T I 0 -3 140 188 171 31
I O 0 -1 188 125 125 -63
O N -2 3 125 125 265 140
N Space -1 2 125 125 63 -62
Space I 3 -4 125 109 218 93
I N -2 2 109 140 203 94
N Space -1 2 140 109 94 -46
Space T 3 -1 109 140 62 -47
T H -1 -1 140 125 125 -15
H E 1 3 125 141 93 -32
E Space -3 -1 141 140 110 -31
Space C 1 1 140 125 327 187
C O 2 -6 125 110 109 -16
O U 0 2 110 93 188 78
U N -2 1 93 125 187 94
N T 2 1 125 125 156 31
T R 0 1 125 140 234 109
R Y 0 -2 140 110 171 31
Y OemPeriod -2 -3 110 78 1077 967
OemPeriod Space -1 5 78 156 249 171
Space LShiftKey 1 4 156 499 63 -93
LShiftKey T 2 -5 499 140 359 -140
T H -1 -1 140 125 265 125
H R 1 2 125 94 249 124
R O 0 -5 94 110 156 62
O U 0 2 110 109 203 93
U G -1 2 109 140 437 328
G H 0 -1 140 125 109 -31
H O 1 -3 125 125 281 156
O U 0 2 125 110 218 93
U T 0 2 110 125 125 15
T Space -3 1 125 156 1014 889
Space T 3 -1 156 156 234 78
T H -1 -1 156 141 78 -78
H E 1 3 141 141 156 15
E Space -3 -1 141 124 141 0
Space C 1 1 124 187 296 172
C A 1 2 187 141 140 -47
A M -1 -6 141 93 188 47
M P 2 -3 93 140 218 125
P U 0 3 140 109 250 110
U S -1 5 109 156 62 -47
S Space -2 -2 156 156 952 796
Space E 3 1 156 172 296 140
E V -2 -1 172 172 265 93
V E 2 1 172 171 94 -78
E R 0 -1 171 141 249 78
R Y 0 -2 141 124 188 47
Y Space -3 2 124 140 234 110
Space P 3 -6 140 156 218 78
P O 0 1 156 141 218 62
O S -1 7 141 156 219 78
S T 1 -3 156 172 296 140
T E 0 2 172 156 63 -109
E R 0 -1 156 156 218 62
R Oemcomma -2 -4 156 78 920 764
Oemcomma Space -1 4 78 124 266 188
Space W 3 2 124 171 187 63
W Back 1 -11 171 156 359 188
Back E -1 10 156 156 124 -32
E V -2 -1 156 172 702 546
V E 2 1 172 171 110 -62
E R 0 -1 171 109 249 78
R Y 0 -2 109 156 125 16
Y Space -3 2 156 109 109 -47
Space L 2 -5 109 140 359 250
L A 0 8 140 94 109 -31
A B -1 -4 94 187 359 265
B R 2 1 187 125 140 -47
R Back 1 -9 125 141 359 234
Back E -1 10 141 156 109 -32
E L -1 -6 156 187 188 32
L Space -2 5 187 140 1357 1170
Space O 3 -5 140 125 234 94
O N -2 3 125 156 249 124
N Space -1 2 156 109 110 -46
Space E 3 1 109 172 171 62
E V -2 -1 172 156 250 78
V E 2 1 156 125 140 -16
E R 0 -1 125 125 187 62
R Y 0 -2 125 156 110 -15
Y Space -3 2 156 125 93 -63
Space D 2 1 125 156 281 156
D R 1 -1 156 109 359 203
R A -1 3 109 140 187 78
A W 1 -1 140 188 218 78
W E 0 -1 188 140 188 0
E R 0 -1 140 156 187 47
R Oemcomma -2 -4 156 109 1357 1201
Oemcomma Space -1 4 109 109 234 125
Space W 3 2 109 187 125 16
W A -1 1 187 172 109 -78
A S 0 -1 172 172 218 46
S Space -2 -2 172 125 234 62
Space B 1 -1 125 156 1014 889
B E 2 2 156 156 219 63
E A -1 2 156 124 281 125
A U 1 -6 124 125 187 63
U T 0 2 125 109 218 93
T I 0 -3 109 109 172 63
I F -1 4 109 124 281 172
F U 1 -3 124 94 140 16
U L -1 -2 94 78 203 109
L L 0 0 78 93 125 47
L Y 1 3 93 156 234 141
Y Space -3 2 156 141 93 -63
Space C 1 1 141 219 468 327
C A 1 2 219 140 125 -94
A L 0 -8 140 78 359 219
L L 0 0 78 109 140 62
L I 1 1 109 141 187 78
I G -1 3 141 140 188 47
G R 1 1 140 125 249 109
R A -1 3 125 125 78 -47
A P 1 -9 125 156 187 62
P H -1 4 156 109 297 141
H E 1 3 109 172 62 -47
E R 0 -1 172 141 109 -63
R Back 1 -9 141 156 375 234
Back D -2 10 156 140 94 -62
D OemPeriod -1 -6 140 94 592 452
OemPeriod Space -1 5 94 140 1311 1217
Space LShiftKey 1 4 140 967 140 0
LShiftKey B 0 -5 967 171 718 -249
B E 2 2 171 156 327 156
E C -2 0 156 156 359 203
C A 1 2 156 125 109 -47
A U 1 -6 125 109 203 78
U S -1 5 109 156 94 -15
S E 1 -1 156 156 93 -63
E Space -3 -1 156 203 375 219
Space LShiftKey 1 4 203 733 187 -16
LShiftKey I 2 -8 733 172 156 -577
I Space -3 4 172 171 827 655
Space H 2 -2 171 141 7862 7691
H A 0 5 141 188 109 -32
A D 0 -2 188 156 110 -78
D Space -2 -1 156 125 171 15
Space D 2 1 125 141 187 62
D R 1 -1 141 125 234 93
R O 0 -5 125 156 312 187
O P 0 -1 156 94 234 78
P P 0 0 94 156 141 47
P E 0 7 156 156 109 -47
E D -1 0 156 141 265 109
D Space -2 -1 141 140 172 31
Space O 3 -5 140 124 281 141
O U 0 2 124 202 234 110
U T 0 2 202 171 234 32
T Space -3 1 171 172 280 109
Space A 2 3 172 140 188 16
A N -1 -5 140 141 93 -47
N D 1 3 141 156 125 -16
D Space -2 -1 156 124 172 16
Space D 2 1 124 124 936 812
D I 1 -5 124 140 265 141
I D -1 5 140 141 140 0
D N -1 -3 141 94 234 93
N Oem7 1 -5 94 171 640 546
Oem7 T 1 6 171 140 234 63
T Space -3 1 140 140 655 515
Space H 2 -2 140 140 484 344
H A 0 5 140 140 62 -78
A V -1 -3 140 203 203 63
V E 2 1 203 156 93 -110
E Space -3 -1 156 141 234 78
Space T 3 -1 141 78 437 296
T Back 1 -8 78 171 874 796
Back T -1 8 171 156 873 702
T O 0 -4 156 187 141 -15
O Space -3 5 187 172 109 -78
Space T 3 -1 172 171 749 577
T A -1 4 171 140 109 -62
A K 0 -7 140 141 265 125
K E 1 5 141 141 78 -63
E Space -3 -1 141 140 141 0
Space T 3 -1 140 140 109 -31
T H -1 -1 140 140 109 -31
H E 1 3 140 156 125 -15
E Space -3 -1 156 141 140 -16
Space N 1 -2 141 203 328 187
N O 2 -3 203 172 93 -110
O R 0 5 172 140 219 47
R M -2 -3 140 141 218 78
M A 1 6 141 125 94 -47
A L 0 -8 125 172 140 15
L Space -2 5 172 203 94 -78
Space C 1 1 203 156 187 -16
C L 1 -6 156 109 203 47
L A 0 8 109 172 62 -47
A S 0 -1 172 110 187 15
S S 0 0 110 141 203 93
S E 1 -1 141 187 141 0
E S -1 1 187 125 93 -94
S Oemcomma -1 -6 125 94 1061 936
Oemcomma LShiftKey 0 8 94 655 203 109
LShiftKey Space -1 -4 655 219 140 -515
Space I 3 -4 219 187 312 93
I Space -3 4 187 156 156 -31
Space D 2 1 156 187 281 125
D E 1 0 187 172 109 -78
E C -2 0 172 140 359 187
C I 2 -5 140 140 172 32
I D -1 5 140 172 218 78
D E 1 0 172 156 109 -63
E D -1 0 156 156 203 47
D Space -2 -1 156 202 172 16
Space T 3 -1 202 156 171 -31
T O 0 -4 156 187 94 -62
O Space -3 5 187 156 109 -78
Space T 3 -1 156 156 281 125
T A -1 4 156 141 93 -63
A K 0 -7 141 125 219 78
K E 1 5 125 141 140 15
E Space -3 -1 141 171 141 0
Space A 2 3 171 140 218 47
A Space -2 -3 140 125 109 -31
Space C 1 1 125 156 219 94
C A 1 2 156 94 124 -32
A L 0 -8 94 93 188 94
L L 0 0 93 124 156 63
L I 1 1 124 141 202 78
I G -1 3 141 172 234 93
G R 1 1 172 156 297 125
R A -1 3 156 141 93 -63
A P 1 -9 141 140 188 47
P H -1 4 140 109 265 125
H Y 1 0 109 187 187 78
Y Space -3 2 187 140 94 -93
Space C 1 1 140 156 499 359
C L 1 -6 156 125 265 109
L A 0 8 125 140 78 -47
A S 0 -1 140 93 203 63
S S 0 0 93 141 171 78
S Space -2 -2 141 156 94 -47
Space T 3 -1 156 156 125 -31
T O 0 -4 156 156 140 -16
O Space -3 5 156 125 94 -62
Space L 2 -5 125 140 187 62
L E 1 6 140 172 31 -109
E A -1 2 172 156 94 -78
A R 1 -3 156 140 780 624
R N -2 -2 140 141 249 109
N Space -1 2 141 156 78 -63
Space H 2 -2 156 172 250 94
H O 1 -3 172 140 94 -78
O W 0 7 140 156 124 -16
W Space -3 -2 156 172 234 78
Space T 3 -1 172 156 172 0
T O 0 -4 156 171 94 -62
O Space -3 5 171 156 124 -47
Space D 2 1 156 124 188 32
D O 1 -6 124 156 109 -15
O Space -3 5 156 203 218 62
Space T 3 -1 203 141 312 109
T H -1 -1 141 187 141 0
H I 1 -2 187 140 109 -78
I S -1 6 140 124 125 -15
S Oemcomma -1 -6 124 109 343 219
Oemcomma Space -1 4 109 172 249 140
Space LShiftKey 1 4 172 515 125 -47
LShiftKey I 2 -8 515 172 359 -156
I Space -3 4 172 141 218 46
Space L 2 -5 141 141 203 62
L E 1 6 141 187 63 -78
E A -1 2 187 156 93 -94
A R 1 -3 156 156 219 63
R N -2 -2 156 140 530 374
N E 2 3 140 156 94 -46
E D -1 0 156 109 265 109
D Space -2 -1 109 141 93 -16
Space A 2 3 141 94 156 15
A N -1 -5 94 203 78 -16
N O 2 -3 203 93 110 -93
O Back 1 -4 93 94 452 359
Back Back 0 0 94 109 172 78
Back B -3 8 109 141 202 93
B O 2 -4 141 156 734 593
O U 0 2 156 141 405 249
U T 0 2 141 140 125 -16
T Space -3 1 140 187 109 -31
Space LShiftKey 1 4 187 843 421 234
LShiftKey S 1 -2 843 156 2075 1232
S E 1 -1 156 156 219 63
E R 0 -1 156 140 234 78
R I 0 -4 140 172 171 31
I F -1 4 172 140 219 47
F Space -2 0 140 187 109 -31
Space A 2 3 187 140 203 16
A N -1 -5 140 171 109 -31
N D 1 3 171 141 140 -31
D Space -2 -1 141 156 109 -32
Space S 2 2 156 172 156 0
S A 0 1 172 140 110 -62
A N -1 -5 140 156 312 172
N S 1 4 156 141 280 124
S Space -2 -2 141 156 234 93
Space S 2 2 156 172 172 16
S E 1 -1 172 140 203 31
E R 0 -1 140 140 234 94
R I 0 -4 140 140 234 94
I F -1 4 140 156 452 312
F Space -2 0 156 172 203 47
Space T 3 -1 172 171 593 421
T Y 0 -1 171 109 234 63
Y P 0 -4 109 156 327 218
P E 0 7 156 156 94 -62
E F -1 -1 156 156 296 140
F A 0 3 156 172 94 -62
A C -1 -2 172 219 1076 904
C E 2 0 219 156 110 -109
E S -1 1 156 188 514 358
S Oemcomma -1 -6 188 94 1061 873
Oemcomma Space -1 4 94 141 655 561
Space A 2 3 141 156 250 109
A B -1 -4 156 140 624 468
B O 2 -4 140 140 125 -15
O U 0 2 140 156 171 31
U T 0 2 156 156 172 16
T Space -3 1 156 171 874 718
Space V 1 0 171 172 608 437
V A 1 3 172 140 94 -78
A R 1 -3 140 125 265 125
R Y 0 -2 125 125 265 140
Y I 0 -2 125 110 218 93
I N -2 2 110 125 203 93
N G 1 1 125 141 109 -16
G Space -2 1 141 187 765 624
Space T 3 -1 187 156 140 -47
T H -1 -1 156 109 141 -15
H E 1 3 109 141 93 -16
E Space -3 -1 141 156 141 0
Space A 2 3 156 171 234 78
A M -1 -6 171 171 312 141
M O 2 -2 171 156 124 -47
O U 0 2 156 156 406 250
U N -2 1 156 125 265 109
N T 2 1 125 141 109 -16
T Space -3 1 141 141 125 -16
Space O 3 -5 141 156 203 62
O F -1 5 156 125 218 62
F Space -2 0 125 156 141 16
Space S 2 2 156 172 218 62
S P 1 -8 172 172 203 31
P A -1 9 172 156 140 -32
A C -1 -2 156 281 359 203
C E 2 0 281 156 234 -47
E Space -3 -1 156 171 3448 3292
Space B 1 -1 171 172 811 640
B E 2 2 172 125 125 -47
E T 0 -2 125 156 327 202
T W 0 3 156 156 484 328
W E 0 -1 156 124 250 94
E E 0 0 124 187 187 63
E N -2 -3 187 187 234 47
N Space -1 2 187 156 125 -62
Space L 2 -5 156 125 1388 1232
L E 1 6 125 156 140 15
E T 0 -2 156 125 250 94
T T 0 0 125 141 187 62
T E 0 2 141 172 78 -63
E R 0 -1 172 156 156 -16
R Space -3 0 156 156 125 -31
Space C 1 1 156 156 234 78
C O 2 -6 156 125 156 0
O M -2 2 125 140 281 156
M B 0 2 140 125 312 172
B I 2 -3 125 140 156 31
I N -2 2 140 109 234 94
N A 1 5 109 141 93 -16
A T 1 -4 141 125 219 78
T I 0 -3 125 172 296 171
I O 0 -1 172 140 94 -78
O N -2 3 140 156 234 94
N S 1 4 156 156 140 -16
S Oemcomma -1 -6 156 140 921 765
Oemcomma Space -1 4 140 172 249 109
Space A 2 3 172 172 203 31
A N -1 -5 172 156 125 -47
N Back 3 -7 156 156 1279 1123
Back B -3 8 156 172 1435 1279
B O 2 -4 172 124 297 125
O U 0 2 124 140 218 94
U T 0 2 140 156 94 -46
T Space -3 1 156 156 171 15
Space W 3 2 156 156 172 16
W H -1 -4 156 156 125 -31
H A 0 5 156 172 124 -32
A T 1 -4 172 156 188 16
T Space -3 1 156 156 187 31
Space N 1 -2 156 172 327 171
N A 1 5 172 156 141 -31
A K 0 -7 156 172 171 15
K E 1 5 172 171 141 -31
E S -1 1 171 172 218 47
S Space -2 -2 172 202 1545 1373
Space G 2 -1 202 141 639 437
G R 1 1 141 125 281 140
R E 0 1 125 156 250 125
E A -1 2 156 188 46 -110
